user_id,item_id,rating,timestamp
1,21,3,1039927
1,30,1,1459539
1,27,4,1651833
1,13,3,1811631
1,34,3,2232807
1,43,3,3001408
1,42,5,4986867
1,46,3,6709875
1,5,1,7447959
1,26,4,8538224
1,24,1,8815057
1,27,4,8872720
1,6,5,9991269
2,21,2,1289289
2,37,5,1376261
2,28,5,4149949
2,39,4,5705955
2,16,4,5797794
2,47,3,6513418
2,40,3,6615209
2,29,3,7258344
3,2,5,4981785
3,19,4,4996790
3,41,2,5324675
3,32,4,7441748
3,23,5,8929879
3,2,1,9089172
3,8,5,9234922
3,10,4,9466338
4,19,2,1422649
4,3,1,1964163
4,36,1,2067201
4,32,5,3724858
4,15,4,3974980
4,9,4,6315769
4,0,1,6695355
4,31,5,7632223
4,7,4,8296397
4,16,5,9432718
5,23,2,1501983
5,42,5,1509247
5,12,5,1896723
5,18,5,2170987
5,41,5,4876629
5,33,1,5289896
5,4,5,5480268
5,24,3,5657272
5,14,5,5983205
5,15,1,9466815
5,35,1,9547084
6,9,4,1076192
6,12,5,2102704
6,20,5,5533931
6,9,3,5904931
6,17,4,6773324
6,0,1,8091918
6,45,1,8726045
6,6,1,8957582
6,26,5,9090664
6,7,3,9497811
7,33,2,1258495
7,30,5,1698499
7,8,1,2671265
7,15,4,4124966
7,8,3,4552098
7,32,5,6356550
7,28,1,7148581
7,36,2,7873815
7,8,4,8771045
7,46,1,9006654
7,25,4,9578318
8,24,1,1453706
8,17,5,1593675
8,24,2,1879091
8,30,3,1949099
8,34,4,3169931
8,21,2,3762745
8,17,5,5492203
8,26,2,5964357
8,27,5,6680816
8,2,3,7107608
8,2,5,7389922
9,8,3,1447242
9,10,3,2461808
9,41,2,2774505
9,15,1,3259405
9,10,1,4156162
9,15,3,5358777
9,30,2,5382606
9,11,4,5387592
9,38,2,8527481
9,14,2,9727854
9,0,4,9975560
10,26,5,1199227
10,38,2,1778362
10,38,3,3098877
10,25,2,4702773
10,7,3,4848782
10,32,4,5065328
10,3,4,6647853
10,21,1,7169722
10,17,4,7649539
10,5,5,8712334
10,6,4,9174014
10,39,2,9313140
11,11,1,2262356
11,17,2,2863912
11,45,5,2938049
11,37,5,3119144
11,44,4,3382322
11,37,2,4307489
11,32,1,4686555
11,9,4,5829636
11,45,4,6916563
11,17,2,7485511
11,42,2,8807268
11,30,1,9622757
12,29,3,2996711
12,28,3,3593520
12,47,2,5400503
12,46,1,7115948
12,0,1,9372701
12,19,3,9391800
12,17,1,9835770
13,11,4,1094360
13,38,4,1465962
13,9,5,3408194
13,30,3,6770583
13,12,5,9705351
14,7,2,2399166
14,5,4,3284331
14,33,2,3506604
14,35,1,6688351
14,8,1,6757941
14,3,1,6843643
14,21,5,8953903
15,21,2,2007272
15,29,1,2135200
15,40,1,3926056
15,5,5,4354353
15,40,3,5497534
15,9,3,5682260
15,34,1,6004750
15,17,3,6877419
15,36,2,7001568
15,1,2,8124596
16,35,3,2979124
